timestamp,trade_id,symbol,underlying,option_type,strike,expiry,expiry_date,days_to_expiry,action,side,quantity,price,total_value,spot_price,spot_change_1h,spot_change_24h,iv,delta,gamma,theta,vega,position_size_before,position_size_after,position_pnl_at_trade,avg_entry_before,btc_price,eth_price,market_trend,volatility_regime,outcome_pnl,outcome_pnl_pct,outcome_duration_hours,outcome_max_profit,outcome_max_loss,outcome_status,strategy_tag,automation_rule,user_notes
2026-01-14T13:03:42.657435,T000001,C-BTC-95200-140126,BTC,Call,95200,140126,2026-01-14T08:30:00,-0.19,SELL,OPEN,5,133.5,667.5,0,0,0,0,0,0,0,0,-20.0,-25.0,0,87.8,0,0,neutral,medium,167.5,25.0936329588015,94.9282432475,,,closed,manual_add,,
2026-01-14T13:03:55.670940,T000002,C-BTC-95200-140126,BTC,Call,95200,140126,2026-01-14T08:30:00,-0.19,SELL,OPEN,5,143.0,715.0,0,0,0,0,0,0,0,0,-20.0,-25.0,0,87.8,0,0,neutral,medium,215.0,30.069930069930066,94.92462838499999,,,closed,manual_add,,
2026-01-14T13:05:18.298770,T000003,C-BTC-96000-140126,BTC,Call,96000,140126,2026-01-14T08:30:00,-0.19,SELL,OPEN,5,20.5,102.5,0,0,0,0,0,0,0,0,4.0,-1.0,0,13.0,0,0,neutral,medium,87.5,85.36585365853658,94.90167548638888,,,closed,manual_add,,
2026-01-14T13:08:18.310993,T000004,C-BTC-96000-140126,BTC,Call,96000,140126,2026-01-14T08:30:00,-0.19,SELL,OPEN,5,16.5,82.5,0,0,0,0,0,0,0,0,3.0,-2.0,0,16.75,0,0,neutral,medium,67.5,81.81818181818183,94.8516720911111,,,closed,manual_add,,
2026-01-14T13:12:13.873098,T000005,C-BTC-96000-140126,BTC,Call,96000,140126,2026-01-14T08:30:00,-0.2,SELL,OPEN,5,20.3,101.5,0,0,0,0,0,0,0,0,-2.0,-7.0,0,16.571428571428573,0,0,neutral,medium,86.5,85.22167487684729,94.78623817305557,,,closed,manual_add,,
2026-01-14T13:23:06.686452,T000006,P-BTC-94000-140126,BTC,Put,94000,140126,2026-01-14T08:30:00,-0.2,SELL,OPEN,5,14.5,72.5,0,0,0,0,0,0,0,0,-25.0,-30.0,0,43.71666666666666,0,0,neutral,medium,62.5,86.20689655172413,2.2513317877777776,,,closed,manual_add,,
2026-01-14T13:23:16.571978,T000007,P-BTC-94000-140126,BTC,Put,94000,140126,2026-01-14T08:30:00,-0.2,SELL,OPEN,5,14.3,71.5,0,0,0,0,0,0,0,0,-25.0,-30.0,0,43.71666666666666,0,0,neutral,medium,61.5,86.01398601398601,2.2485858083333334,,,closed,manual_add,,
2026-01-14T13:23:42.721881,T000008,P-BTC-94000-140126,BTC,Put,94000,140126,2026-01-14T08:30:00,-0.2,SELL,OPEN,5,14.4,72.0,0,0,0,0,0,0,0,0,-30.0,-35.0,0,39.51428571428571,0,0,neutral,medium,62.0,86.11111111111111,2.2413219463888887,,,closed,manual_add,,
2026-01-14T13:28:29.246446,T000009,P-BTC-94000-140126,BTC,Put,94000,140126,2026-01-14T08:30:00,-0.21,SELL,OPEN,5,14.0,70.0,0,0,0,0,0,0,0,0,-40.0,-45.0,0,33.94444444444444,0,0,neutral,medium,60.0,85.71428571428571,2.1617317894444446,,,closed,manual_add,,
2026-01-14T14:11:35.168518,T000010,C-BTC-96000-140126,BTC,Call,96000,140126,2026-01-14T08:30:00,-0.24,SELL,OPEN,5,8.5,42.5,0,0,0,0,0,0,0,0,-11.0,-16.0,0,18.71875,0,0,neutral,medium,27.5,64.70588235294117,93.79698944527777,,,closed,manual_add,,
2026-01-14T14:36:41.069503,T000011,C-BTC-95200-140126,BTC,Call,95200,140126,2026-01-14T08:30:00,-0.25,SELL,OPEN,5,92.5,462.5,0,0,0,0,0,0,0,0,-30.0,-35.0,0,96.42857142857144,0,0,neutral,medium,-37.5,-8.108108108108109,93.37868433972223,,,closed,manual_add,,
2026-01-14T14:44:02.899333,T000012,P-BTC-94600-140126,BTC,Put,94600,140126,2026-01-14T08:30:00,-0.26,SELL,OPEN,5,49.0,245.0,0,0,0,0,0,0,0,0,-45.0,-50.0,0,95.15,0,0,neutral,medium,155.0,63.26530612244898,93.25595347638888,,,closed,manual_add,,
2026-01-14T14:50:43.227481,T000013,P-BTC-94600-140126,BTC,Put,94600,140126,2026-01-14T08:30:00,-0.26,SELL,OPEN,5,37.5,187.5,0,0,0,0,0,0,0,0,-50.0,-55.0,0,90.95454545454544,0,0,neutral,medium,97.5,52.0,93.14475121305556,,,closed,manual_add,,
2026-01-14T14:50:57.528369,T000014,P-BTC-94600-140126,BTC,Put,94600,140126,2026-01-14T08:30:00,-0.26,SELL,OPEN,5,37.2,186.0,0,0,0,0,0,0,0,0,-50.0,-55.0,0,90.95454545454544,0,0,neutral,medium,96.00000000000001,51.61290322580646,93.14077874416667,,,closed,manual_add,,
2026-01-14T14:51:31.258602,T000015,P-BTC-94600-140126,BTC,Put,94600,140126,2026-01-14T08:30:00,-0.26,SELL,OPEN,5,37.1,185.5,0,0,0,0,0,0,0,0,-65.0,-70.0,0,79.5142857142857,0,0,neutral,medium,95.5,51.482479784366575,93.13140923499999,,,closed,manual_add,,
2026-01-14T15:38:11.480888,T000016,P-BTC-94000-140126,BTC,Put,94000,140126,2026-01-14T08:30:00,-0.3,BUY,CLOSE,50,2.0,100.0,0,0,0,0,0,0,0,0,-50.0,0.0,0,31.95,0,0,neutral,medium,0.0,0.0,2.1617317894444446,,,paired,manual_close,,
2026-01-14T18:38:46.200292,T000017,P-BTC-92000-150126,BTC,Put,92000,150126,2026-01-15T08:30:00,0.58,SELL,OPEN,5,61.0,305.0,0,0,0,0,0,0,0,0,4.0,-1.0,0,58.0,0,0,neutral,medium,255.0,83.60655737704919,89.34391709666667,,,closed,manual_add,,
2026-01-14T18:38:55.749648,T000018,C-BTC-98800-150126,BTC,Call,98800,150126,2026-01-15T08:30:00,0.58,SELL,OPEN,5,44.0,220.0,0,0,0,0,0,0,0,0,4.0,-1.0,0,42.0,0,0,neutral,medium,115.0,52.27272727272727,89.34124815833333,,,closed,manual_add,,
2026-01-14T19:06:49.969753,T000019,C-BTC-98800-150126,BTC,Call,98800,150126,2026-01-15T08:30:00,0.56,SELL,OPEN,1,58.5,58.5,0,0,0,0,0,0,0,0,-5.0,-6.0,0,43.666666666666664,0,0,neutral,medium,37.5,64.1025641025641,88.87618701805556,,,closed,manual_add,,
2026-01-14T19:12:46.930686,T000020,C-BTC-98800-150126,BTC,Call,98800,150126,2026-01-15T08:30:00,0.55,SELL,OPEN,1,54.0,54.0,0,0,0,0,0,0,0,0,-5.0,-6.0,0,43.666666666666664,0,0,neutral,medium,33.0,61.111111111111114,88.77703120333334,,,closed,manual_add,,
2026-01-14T19:29:31.317571,T000021,P-BTC-92000-150126,BTC,Put,92000,150126,2026-01-15T08:30:00,0.54,SELL,OPEN,1,52.5,52.5,0,0,0,0,0,0,0,0,-5.0,-6.0,0,60.5,0,0,neutral,medium,42.5,80.95238095238095,88.49805118583333,,,closed,manual_add,,
2026-01-14T20:05:48.014921,T000022,C-BTC-111000-270326,BTC,Call,111000,270326,2026-03-27T08:30:00,71.52,SELL,OPEN,1,2174.0,2174.0,0,0,0,0,0,0,0,0,-4.0,-5.0,0,2022.3,0,0,neutral,medium,,,,,,open,manual_add,,
2026-01-14T20:24:32.570693,T000023,C-BTC-98800-150126,BTC,Call,98800,150126,2026-01-15T08:30:00,0.5,SELL,OPEN,1,221.0,221.0,0,0,0,0,0,0,0,0,-8.0,-9.0,0,66.16666666666666,0,0,neutral,medium,200.0,90.49773755656109,87.58102009027778,,,closed,manual_add,,
2026-01-17T00:20:17.638607,T000024,C-BTC-97200-170126,BTC,Call,97200,170126,2026-01-17T08:30:00,0.34,SELL,OPEN,1,4.0,4.0,0,0,0,0,0,0,0,0,0.0,-1.0,0,143.8,0,0,neutral,medium,3.8,95.0,35.651708283333335,,,closed,manual_add,,
2026-01-17T00:42:39.409863,T000025,C-BTC-96200-170126,BTC,Call,96200,170126,2026-01-17T08:30:00,0.32,SELL,OPEN,1,10.8,10.8,0,0,0,0,0,0,0,0,-29.0,-30.0,0,58.0,0,0,neutral,medium,10.600000000000001,98.14814814814815,35.278989324722225,,,closed,manual_add,,
2026-01-17T14:33:43.163351,T000026,P-BTC-94800-170126,BTC,Put,94800,170126,2026-01-17T08:30:00,-0.25,SELL,OPEN,1,8.1,8.1,0,0,0,0,0,0,0,0,-1.0,-2.0,0,7.7,0,0,neutral,medium,7.8999999999999995,97.53086419753086,21.427937800833334,,,closed,manual_add,,
2026-01-17T14:33:55.117277,T000027,C-BTC-95600-170126,BTC,Call,95600,170126,2026-01-17T08:30:00,-0.25,SELL,OPEN,1,11.0,11.0,0,0,0,0,0,0,0,0,-1.0,-2.0,0,10.0,0,0,neutral,medium,10.8,98.18181818181819,21.424624365833335,,,closed,manual_add,,
2026-01-17T14:34:14.709803,T000028,C-BTC-95600-170126,BTC,Call,95600,170126,2026-01-17T08:30:00,-0.25,SELL,OPEN,1,10.5,10.5,0,0,0,0,0,0,0,0,-1.0,-2.0,0,10.0,0,0,neutral,medium,10.3,98.0952380952381,21.4191819975,,,closed,manual_add,,
2026-01-17T14:34:29.355544,T000029,P-BTC-94800-170126,BTC,Put,94800,170126,2026-01-17T08:30:00,-0.25,SELL,OPEN,1,8.3,8.3,0,0,0,0,0,0,0,0,-1.0,-2.0,0,7.7,0,0,neutral,medium,8.100000000000001,97.59036144578313,21.415106636111112,,,closed,manual_add,,
2026-01-17T14:37:48.152865,T000030,P-BTC-94800-170126,BTC,Put,94800,170126,2026-01-17T08:30:00,-0.26,SELL,OPEN,1,7.7,7.7,0,0,0,0,0,0,0,0,-2.0,-3.0,0,7.9,0,0,neutral,medium,7.5,97.40259740259741,21.359885158055558,,,closed,manual_add,,
