timestamp,time,total_pnl,unrealized_pnl,position_count
2025-11-13T00:00:00.674652,00:00:00,6728.22,6728.22,3
2025-11-13T00:00:13.114780,00:00:13,6690.01,6690.01,3
2025-11-13T00:00:25.591947,00:00:25,6678.52,6678.52,3
2025-11-13T00:00:38.953888,00:00:38,6703.32,6703.32,3
2025-11-13T00:00:51.692799,00:00:51,6689.67,6689.67,3
2025-11-13T00:01:05.253179,00:01:05,6706.07,6706.07,3
2025-11-13T00:01:17.403945,00:01:17,6701.83,6701.83,3
2025-11-13T00:01:29.689443,00:01:29,6608.4,6608.4,3
2025-11-13T00:01:41.873165,00:01:41,6614.21,6614.21,3
2025-11-13T00:01:53.849741,00:01:53,6693.08,6693.08,3
2025-11-13T00:02:05.837916,00:02:05,6694.47,6694.47,3
2025-11-13T00:02:18.065672,00:02:18,6702.54,6702.54,3
2025-11-13T00:02:30.071806,00:02:30,6568.02,6568.02,3
2025-11-13T00:02:42.135486,00:02:42,6539.84,6539.84,3
2025-11-13T00:02:54.269723,00:02:54,6558.1,6558.1,3
2025-11-13T00:03:06.168688,00:03:06,6617.5,6617.5,3
2025-11-13T00:03:18.517147,00:03:18,6659.85,6659.85,3
2025-11-13T00:03:30.572524,00:03:30,6641.48,6641.48,3
2025-11-13T00:03:42.987599,00:03:42,6651.41,6651.41,3
2025-11-13T00:03:55.236903,00:03:55,6702.86,6702.86,3
2025-11-13T00:04:07.186446,00:04:07,6697.84,6697.84,3
2025-11-13T00:04:19.283242,00:04:19,6668.02,6668.02,3
2025-11-13T00:04:31.323545,00:04:31,6699.19,6699.19,3
2025-11-13T00:04:43.588120,00:04:43,6820.76,6820.76,3
2025-11-13T00:04:55.479693,00:04:55,6821.74,6821.74,3
2025-11-13T00:05:07.777340,00:05:07,6862.43,6862.43,3
2025-11-13T00:05:20.057004,00:05:20,6929.05,6929.05,3
2025-11-13T00:05:32.490239,00:05:32,6924.69,6924.69,3
2025-11-13T00:05:44.509632,00:05:44,6966.84,6966.84,3
2025-11-13T00:05:56.741500,00:05:56,6947.8,6947.8,3
2025-11-13T00:06:09.376126,00:06:09,6987.86,6987.86,3
2025-11-13T00:06:22.459092,00:06:22,6950.67,6950.67,3
2025-11-13T00:06:34.646283,00:06:34,6982.61,6982.61,3
2025-11-13T00:06:46.844684,00:06:46,6979.62,6979.62,3
2025-11-13T00:06:59.229014,00:06:59,6971.31,6971.31,3
2025-11-13T00:07:11.325675,00:07:11,6993.17,6993.17,3
2025-11-13T00:07:23.548202,00:07:23,6989.53,6989.53,3
2025-11-13T00:07:35.526925,00:07:35,6983.51,6983.51,3
2025-11-13T00:07:47.679505,00:07:47,7032.65,7032.65,3
2025-11-13T00:07:59.972500,00:07:59,7058.61,7058.61,3
2025-11-13T00:08:12.373102,00:08:12,7064.13,7064.13,3
2025-11-13T00:08:24.541379,00:08:24,7055.67,7055.67,3
2025-11-13T00:08:36.914308,00:08:36,7094.89,7094.89,3
2025-11-13T00:08:49.273534,00:08:49,7074.15,7074.15,3
2025-11-13T00:09:01.470346,00:09:01,7125.89,7125.89,3
2025-11-13T00:09:13.597655,00:09:13,7153.68,7153.68,3
2025-11-13T00:09:25.654489,00:09:25,7141.24,7141.24,3
2025-11-13T00:09:37.597286,00:09:37,7125.59,7125.59,3
2025-11-13T00:09:49.882656,00:09:49,7137.24,7137.24,3
2025-11-13T00:10:02.313918,00:10:02,7174.22,7174.22,3
2025-11-13T00:10:14.717058,00:10:14,7205.99,7205.99,3
2025-11-13T00:10:26.794398,00:10:26,7176.02,7176.02,3
2025-11-13T00:10:39.035270,00:10:39,7123.43,7123.43,3
2025-11-13T00:10:51.464142,00:10:51,7083.29,7083.29,3
2025-11-13T00:11:03.686644,00:11:03,7034.68,7034.68,3
2025-11-13T00:11:16.092935,00:11:16,6952.35,6952.35,3
2025-11-13T00:11:28.170904,00:11:28,6913.55,6913.55,3
2025-11-13T00:11:40.353852,00:11:40,6855.16,6855.16,3
2025-11-13T00:11:52.551799,00:11:52,6850.4,6850.4,3
2025-11-13T00:12:04.560210,00:12:04,6766.39,6766.39,3
2025-11-13T00:12:16.794369,00:12:16,6771.67,6771.67,3
2025-11-13T00:12:28.921078,00:12:28,6738.28,6738.28,3
2025-11-13T00:12:41.040105,00:12:41,6748.81,6748.81,3
2025-11-13T00:12:53.210801,00:12:53,6727.29,6727.29,3
2025-11-13T00:13:05.361600,00:13:05,6778.71,6778.71,3
2025-11-13T00:13:17.269138,00:13:17,6803.72,6803.72,3
2025-11-13T00:13:29.639044,00:13:29,6879.04,6879.04,3
2025-11-13T00:13:41.868131,00:13:41,6839.57,6839.57,3
2025-11-13T00:13:54.145521,00:13:54,6855.1,6855.1,3
2025-11-13T00:14:06.179672,00:14:06,6856.33,6856.33,3
2025-11-13T00:14:18.138632,00:14:18,6802.57,6802.57,3
2025-11-13T00:14:30.454610,00:14:30,6755.96,6755.96,3
2025-11-13T00:14:42.550496,00:14:42,6634.54,6634.54,3
2025-11-13T00:14:54.642347,00:14:54,6575.83,6575.83,3
2025-11-13T00:15:06.785497,00:15:06,6512.68,6512.68,3
2025-11-13T00:15:18.952620,00:15:18,6573.85,6573.85,3
2025-11-13T00:15:31.096347,00:15:31,6591.6,6591.6,3
2025-11-13T00:15:43.294332,00:15:43,6598.01,6598.01,3
2025-11-13T00:15:55.586871,00:15:55,6559.23,6559.23,3
2025-11-13T00:16:07.843417,00:16:07,6545.79,6545.79,3
2025-11-13T00:16:19.835133,00:16:19,6539.24,6539.24,3
2025-11-13T00:16:31.940775,00:16:31,6537.06,6537.06,3
2025-11-13T00:16:44.076429,00:16:44,6533.27,6533.27,3
2025-11-13T00:16:56.123938,00:16:56,6523.11,6523.11,3
2025-11-13T00:17:08.241013,00:17:08,6528.57,6528.57,3
2025-11-13T00:17:20.373384,00:17:20,6491.76,6491.76,3
2025-11-13T00:17:32.517584,00:17:32,6511.32,6511.32,3
2025-11-13T00:17:44.782039,00:17:44,6563.97,6563.97,3
2025-11-13T00:17:56.838762,00:17:56,6608.18,6608.18,3
2025-11-13T00:18:08.935687,00:18:08,6568.81,6568.81,3
2025-11-13T00:18:21.361289,00:18:21,6581.29,6581.29,3
2025-11-13T00:18:33.544764,00:18:33,6639.8,6639.8,3
2025-11-13T00:18:45.658052,00:18:45,6713.98,6713.98,3
2025-11-13T00:18:57.867758,00:18:57,6638.57,6638.57,3
2025-11-13T00:19:10.242853,00:19:10,6661.4,6661.4,3
2025-11-13T00:19:22.484617,00:19:22,6558.91,6558.91,3
2025-11-13T00:19:34.680583,00:19:34,6568.31,6568.31,3
2025-11-13T00:19:46.931292,00:19:46,6521.49,6521.49,3
2025-11-13T00:19:59.075838,00:19:59,6516.65,6516.65,3
2025-11-13T00:20:11.391805,00:20:11,6422.12,6422.12,3
2025-11-13T00:20:23.262306,00:20:23,6441.48,6441.48,3
2025-11-13T00:20:35.423347,00:20:35,6403.85,6403.85,3
2025-11-13T00:20:47.539512,00:20:47,6399.67,6399.67,3
2025-11-13T00:20:59.630268,00:20:59,6412.75,6412.75,3
2025-11-13T00:21:11.762078,00:21:11,6398.07,6398.07,3
2025-11-13T00:21:23.909633,00:21:23,6408.59,6408.59,3
2025-11-13T00:21:35.903031,00:21:35,6442.82,6442.82,3
2025-11-13T00:21:47.774478,00:21:47,6417.0,6417.0,3
2025-11-13T00:21:59.929638,00:21:59,6427.22,6427.22,3
2025-11-13T00:22:11.926529,00:22:11,6418.35,6418.35,3
2025-11-13T00:22:24.165142,00:22:24,6446.88,6446.88,3
2025-11-13T00:22:36.216814,00:22:36,6497.13,6497.13,3
2025-11-13T00:22:48.285628,00:22:48,6470.0,6470.0,3
2025-11-13T00:23:00.371329,00:23:00,6467.73,6467.73,3
2025-11-13T00:23:12.327343,00:23:12,6468.16,6468.16,3
2025-11-13T00:23:24.624644,00:23:24,6492.77,6492.77,3
2025-11-13T00:23:36.700036,00:23:36,6480.54,6480.54,3
2025-11-13T00:23:48.666441,00:23:48,6474.75,6474.75,3
2025-11-13T00:24:00.561398,00:24:00,6475.56,6475.56,3
2025-11-13T00:24:12.762060,00:24:12,6465.85,6465.85,3
2025-11-13T00:24:24.799003,00:24:24,6487.09,6487.09,3
2025-11-13T00:24:36.946381,00:24:36,6477.55,6477.55,3
2025-11-13T00:24:49.035469,00:24:49,6472.81,6472.81,3
2025-11-13T00:25:01.471174,00:25:01,6505.41,6505.41,3
2025-11-13T00:25:13.434376,00:25:13,6637.6,6637.6,3
2025-11-13T00:25:25.849832,00:25:25,6619.98,6619.98,3
2025-11-13T00:25:37.937640,00:25:37,6619.6,6619.6,3
2025-11-13T00:25:50.007037,00:25:50,6649.57,6649.57,3
2025-11-13T00:26:02.150287,00:26:02,6655.12,6655.12,3
2025-11-13T00:26:14.290762,00:26:14,6663.58,6663.58,3
2025-11-13T00:26:26.244520,00:26:26,6633.16,6633.16,3
2025-11-13T00:26:38.291636,00:26:38,6621.95,6621.95,3
2025-11-13T00:26:50.921418,00:26:50,6616.91,6616.91,3
2025-11-13T00:27:17.302927,00:27:17,6591.12,6591.12,3
2025-11-13T00:27:29.306300,00:27:29,6614.33,6614.33,3
2025-11-13T00:27:41.340117,00:27:41,6636.82,6636.82,3
2025-11-13T00:27:53.742678,00:27:53,6646.96,6646.96,3
2025-11-13T00:28:05.840842,00:28:05,6622.37,6622.37,3
2025-11-13T00:28:18.087029,00:28:18,6622.55,6622.55,3
2025-11-13T00:28:30.516357,00:28:30,6618.43,6618.43,3
2025-11-13T00:28:42.741671,00:28:42,6574.55,6574.55,3
2025-11-13T00:28:55.150489,00:28:55,6557.15,6557.15,3
2025-11-13T00:29:07.567085,00:29:07,6571.63,6571.63,3
2025-11-13T00:29:19.369768,00:29:19,6566.73,6566.73,3
2025-11-13T00:29:31.860611,00:29:31,6566.16,6566.16,3
2025-11-13T00:29:44.379399,00:29:44,6561.36,6561.36,3
2025-11-13T00:29:56.383721,00:29:56,6542.76,6542.76,3
2025-11-13T00:30:08.378117,00:30:08,6551.82,6551.82,3
2025-11-13T00:30:20.675956,00:30:20,6514.3,6514.3,3
2025-11-13T00:30:32.659009,00:30:32,6500.71,6500.71,3
2025-11-13T00:30:44.514677,00:30:44,6460.38,6460.38,3
2025-11-13T00:30:56.618441,00:30:56,6463.11,6463.11,3
2025-11-13T00:31:08.541491,00:31:08,6439.99,6439.99,3
2025-11-13T00:31:20.903892,00:31:20,6456.84,6456.84,3
2025-11-13T00:31:32.755235,00:31:32,6446.36,6446.36,3
2025-11-13T00:31:45.102136,00:31:45,6485.62,6485.62,3
2025-11-13T00:31:57.463822,00:31:57,6475.81,6475.81,3
2025-11-13T00:32:09.835153,00:32:09,6444.96,6444.96,3
2025-11-13T00:32:22.050083,00:32:22,6433.44,6433.44,3
2025-11-13T00:32:34.322056,00:32:34,6391.88,6391.88,3
2025-11-13T00:32:46.992219,00:32:46,6374.88,6374.88,3
2025-11-13T00:32:59.303154,00:32:59,6456.45,6456.45,3
2025-11-13T00:33:11.686294,00:33:11,6452.59,6452.59,3
2025-11-13T00:33:23.819975,00:33:23,6463.63,6463.63,3
2025-11-13T00:33:36.157979,00:33:36,6543.15,6543.15,3
2025-11-13T00:33:48.538369,00:33:48,6562.01,6562.01,3
2025-11-13T00:34:00.734347,00:34:00,6533.48,6533.48,3
2025-11-13T00:34:12.949074,00:34:12,6404.16,6404.16,3
2025-11-13T00:34:25.369455,00:34:25,6379.24,6379.24,3
2025-11-13T00:34:37.834125,00:34:37,6426.65,6426.65,3
2025-11-13T00:34:50.324576,00:34:50,6330.9,6330.9,3
2025-11-13T00:35:03.022211,00:35:03,6335.8,6335.8,3
2025-11-13T00:35:15.475982,00:35:15,6284.1,6284.1,3
2025-11-13T00:35:27.876427,00:35:27,6226.18,6226.18,3
2025-11-13T00:35:40.062945,00:35:40,6251.28,6251.28,3
2025-11-13T00:35:53.111503,00:35:53,6305.01,6305.01,3
2025-11-13T00:36:05.590365,00:36:05,6310.9,6310.9,3
2025-11-13T00:36:18.082938,00:36:18,6284.79,6284.79,3
2025-11-13T00:36:30.268522,00:36:30,6266.54,6266.54,3
2025-11-13T00:36:42.822566,00:36:42,6255.45,6255.45,3
2025-11-13T00:36:55.325868,00:36:55,6176.93,6176.93,3
2025-11-13T00:37:07.745599,00:37:07,5823.6,5823.6,3
2025-11-13T00:37:19.829629,00:37:19,5634.55,5634.55,3
2025-11-13T00:37:31.883827,00:37:31,5682.21,5682.21,3
2025-11-13T00:37:44.478490,00:37:44,5688.85,5688.85,3
2025-11-13T00:37:56.868696,00:37:56,5781.25,5781.25,3
2025-11-13T00:38:09.083315,00:38:09,5778.31,5778.31,3
2025-11-13T00:38:21.353789,00:38:21,6114.65,6114.65,3
2025-11-13T00:38:33.895757,00:38:33,6243.37,6243.37,3
2025-11-13T00:38:46.052115,00:38:46,6142.4,6142.4,3
2025-11-13T00:38:58.236023,00:38:58,6136.6,6136.6,3
2025-11-13T00:39:10.318868,00:39:10,6201.56,6201.56,3
2025-11-13T00:39:22.578176,00:39:22,6214.48,6214.48,3
2025-11-13T00:39:35.351188,00:39:35,6262.32,6262.32,3
2025-11-13T00:39:47.595476,00:39:47,6174.91,6174.91,3
2025-11-13T00:39:59.880539,00:39:59,6204.48,6204.48,3
2025-11-13T00:40:12.241436,00:40:12,6173.88,6173.88,3
2025-11-13T00:40:24.365902,00:40:24,5977.43,5977.43,3
2025-11-13T00:40:36.540676,00:40:36,6015.58,6015.58,3
2025-11-13T00:40:48.698098,00:40:48,6069.85,6069.85,3
2025-11-13T00:41:00.809274,00:41:00,6080.28,6080.28,3
2025-11-13T00:41:13.361372,00:41:13,5968.77,5968.77,3
2025-11-13T00:41:25.432880,00:41:25,5973.05,5973.05,3
