timestamp,time,total_pnl,unrealized_pnl,position_count
2025-11-06T00:00:05.275903,00:00:05,10298.55,10298.55,3
2025-11-06T00:00:17.479605,00:00:17,10265.46,10265.46,3
2025-11-06T00:00:30.113347,00:00:30,10296.62,10296.62,3
2025-11-06T00:00:42.689002,00:00:42,10269.34,10269.34,3
2025-11-06T00:00:54.816600,00:00:54,10278.07,10278.07,3
2025-11-06T00:01:07.072482,00:01:07,10231.85,10231.85,3
2025-11-06T00:01:19.361577,00:01:19,10270.01,10270.01,3
2025-11-06T00:01:31.710267,00:01:31,10243.66,10243.66,3
2025-11-06T00:01:43.914924,00:01:43,10242.1,10242.1,3
2025-11-06T00:01:56.134545,00:01:56,10205.12,10205.12,3
2025-11-06T00:02:08.274306,00:02:08,10208.24,10208.24,3
2025-11-06T00:02:20.762725,00:02:20,10210.43,10210.43,3
2025-11-06T00:02:33.210445,00:02:33,10209.22,10209.22,3
2025-11-06T00:02:45.607568,00:02:45,10167.23,10167.23,3
2025-11-06T00:02:57.958250,00:02:57,10153.48,10153.48,3
2025-11-06T00:03:10.535821,00:03:10,10188.4,10188.4,3
2025-11-06T00:03:22.689885,00:03:22,10213.26,10213.26,3
2025-11-06T00:03:35.229216,00:03:35,10217.34,10217.34,3
2025-11-06T00:03:47.884064,00:03:47,10277.96,10277.96,3
2025-11-06T00:04:00.635600,00:04:00,10238.19,10238.19,3
2025-11-06T00:04:12.897712,00:04:12,10224.53,10224.53,3
2025-11-06T00:04:25.061175,00:04:25,10278.43,10278.43,3
2025-11-06T00:04:37.183636,00:04:37,10212.85,10212.85,3
2025-11-06T00:04:49.548142,00:04:49,10259.42,10259.42,3
2025-11-06T00:05:02.269188,00:05:02,10233.58,10233.58,3
2025-11-06T00:05:14.401602,00:05:14,10285.36,10285.36,3
2025-11-06T00:05:26.491555,00:05:26,10314.49,10314.49,3
2025-11-06T00:05:39.457402,00:05:39,10348.31,10348.31,3
2025-11-06T00:05:51.731715,00:05:51,10296.08,10296.08,3
2025-11-06T00:06:04.240669,00:06:04,10347.09,10347.09,3
2025-11-06T00:06:16.692721,00:06:16,10481.53,10481.53,3
2025-11-06T00:06:29.481354,00:06:29,10580.25,10580.25,3
2025-11-06T00:06:42.388821,00:06:42,10597.25,10597.25,3
2025-11-06T00:06:55.341482,00:06:55,10569.54,10569.54,3
2025-11-06T00:07:07.943913,00:07:07,10542.28,10542.28,3
2025-11-06T00:07:20.398215,00:07:20,10595.59,10595.59,3
2025-11-06T00:07:32.766559,00:07:32,10602.74,10602.74,3
2025-11-06T00:07:45.294824,00:07:45,10553.69,10553.69,3
2025-11-06T00:07:57.739508,00:07:57,10552.19,10552.19,3
2025-11-06T00:08:10.517262,00:08:10,10550.21,10550.21,3
2025-11-06T00:08:23.301134,00:08:23,10510.45,10510.45,3
2025-11-06T00:08:35.982489,00:08:35,10533.84,10533.84,3
2025-11-06T00:08:48.663773,00:08:48,10559.65,10559.65,3
2025-11-06T00:09:01.424670,00:09:01,10579.66,10579.66,3
2025-11-06T00:09:14.144631,00:09:14,10542.46,10542.46,3
2025-11-06T00:09:26.573868,00:09:26,10569.31,10569.31,3
