timestamp,open_positions,total_pnl_usd,total_pnl_inr,risk_percent,avg_margin_ratio,min_margin_ratio,positions_at_risk,overall_liq_risk,status
2025-10-13T00:02:29.457307,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-13T00:04:16.726346,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-13T00:07:33.466807,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-13T00:09:20.192801,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-13T00:12:37.363619,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-13T00:14:21.366685,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-13T00:17:41.697118,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-13T00:19:25.510241,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-13T00:22:45.661822,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-13T00:27:44.719351,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-13T00:27:49.257112,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-13T00:32:51.312030,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-13T00:32:52.550063,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-13T00:37:55.581592,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-13T00:37:55.592861,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-13T00:42:59.318795,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-13T00:42:59.334010,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-13T00:48:02.430044,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-13T00:48:02.430647,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-13T00:53:05.577694,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-13T00:53:06.494177,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-13T00:58:09.432025,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-13T00:58:11.010787,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-13T01:03:13.535500,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-13T01:03:14.939766,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-13T01:08:17.372745,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-13T01:08:19.080057,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-13T01:13:21.413691,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-13T01:13:22.622220,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-13T01:18:25.482827,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-13T01:23:29.520810,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-13T01:28:32.736922,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-13T01:33:36.535367,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-13T01:38:40.404136,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-13T01:43:44.429537,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-13T01:48:47.515396,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-13T01:53:51.671167,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-13T01:58:55.649073,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-13T02:03:59.335307,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-13T02:09:03.474298,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-13T02:14:07.510043,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-13T02:19:11.402094,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-13T02:24:15.360001,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
