timestamp,open_positions,total_pnl_usd,total_pnl_inr,risk_percent,avg_margin_ratio,min_margin_ratio,positions_at_risk,overall_liq_risk,status
2025-10-15T00:00:58.444397,9,0.00,0.00,0.00,1.0000,1.0000,0,low,safe
2025-10-15T00:06:02.625546,9,0.00,0.00,0.00,1.0000,1.0000,0,low,safe
2025-10-15T00:11:07.359512,9,0.00,0.00,0.00,1.0000,1.0000,0,low,safe
2025-10-15T00:16:12.586648,9,0.00,0.00,0.00,1.0000,1.0000,0,low,safe
2025-10-15T00:21:16.747893,9,0.00,0.00,0.00,1.0000,1.0000,0,low,safe
2025-10-15T00:26:22.677623,9,0.00,0.00,0.00,1.0000,1.0000,0,low,safe
2025-10-15T00:31:26.896228,9,0.00,0.00,0.00,1.0000,1.0000,0,low,safe
2025-10-15T00:36:31.452500,9,0.00,0.00,0.00,1.0000,1.0000,0,low,safe
2025-10-15T00:41:35.495111,9,0.00,0.00,0.00,1.0000,1.0000,0,low,safe
2025-10-15T00:46:39.819901,9,0.00,0.00,0.00,1.0000,1.0000,0,low,safe
2025-10-15T00:51:44.703359,9,0.00,0.00,0.00,1.0000,1.0000,0,low,safe
2025-10-15T00:56:48.749434,9,0.00,0.00,0.00,1.0000,1.0000,0,low,safe
2025-10-15T01:01:52.470464,9,0.00,0.00,0.00,1.0000,1.0000,0,low,safe
2025-10-15T01:06:57.796329,9,0.00,0.00,0.00,1.0000,1.0000,0,low,safe
2025-10-15T01:12:01.401312,9,0.00,0.00,0.00,1.0000,1.0000,0,low,safe
2025-10-15T01:17:12.818610,9,0.00,0.00,0.00,1.0000,1.0000,0,low,safe
2025-10-15T01:22:17.526925,9,0.00,0.00,0.00,1.0000,1.0000,0,low,safe
2025-10-15T01:27:21.678534,9,0.00,0.00,0.00,1.0000,1.0000,0,low,safe
2025-10-15T01:32:26.989473,9,0.00,0.00,0.00,1.0000,1.0000,0,low,safe
2025-10-15T01:37:31.862865,9,0.00,0.00,0.00,1.0000,1.0000,0,low,safe
2025-10-15T01:42:36.683917,9,0.00,0.00,0.00,1.0000,1.0000,0,low,safe
2025-10-15T01:47:41.443647,9,0.00,0.00,0.00,1.0000,1.0000,0,low,safe
2025-10-15T01:52:47.459235,9,0.00,0.00,0.00,1.0000,1.0000,0,low,safe
2025-10-15T01:57:51.710159,9,0.00,0.00,0.00,1.0000,1.0000,0,low,safe
2025-10-15T02:02:56.411607,9,0.00,0.00,0.00,1.0000,1.0000,0,low,safe
2025-10-15T02:08:01.894310,9,0.00,0.00,0.00,1.0000,1.0000,0,low,safe
2025-10-15T02:13:07.648692,9,0.00,0.00,0.00,1.0000,1.0000,0,low,safe
2025-10-15T02:18:11.741250,9,0.00,0.00,0.00,1.0000,1.0000,0,low,safe
2025-10-15T02:23:15.970581,9,0.00,0.00,0.00,1.0000,1.0000,0,low,safe
2025-10-15T02:28:22.082148,9,0.00,0.00,0.00,1.0000,1.0000,0,low,safe
2025-10-15T02:33:27.018991,9,0.00,0.00,0.00,1.0000,1.0000,0,low,safe
2025-10-15T02:38:31.535096,9,0.00,0.00,0.00,1.0000,1.0000,0,low,safe
2025-10-15T02:43:36.765529,9,0.00,0.00,0.00,1.0000,1.0000,0,low,safe
2025-10-15T02:48:43.483764,9,0.00,0.00,0.00,1.0000,1.0000,0,low,safe
2025-10-15T02:53:48.676203,9,0.00,0.00,0.00,1.0000,1.0000,0,low,safe
2025-10-15T02:58:55.006018,9,0.00,0.00,0.00,1.0000,1.0000,0,low,safe
2025-10-15T03:03:59.663474,9,0.00,0.00,0.00,1.0000,1.0000,0,low,safe
2025-10-15T03:09:05.469842,9,0.00,0.00,0.00,1.0000,1.0000,0,low,safe
2025-10-15T03:14:11.621516,9,0.00,0.00,0.00,1.0000,1.0000,0,low,safe
2025-10-15T03:19:15.641666,9,0.00,0.00,0.00,1.0000,1.0000,0,low,safe
2025-10-15T03:24:21.671054,9,0.00,0.00,0.00,1.0000,1.0000,0,low,safe
2025-10-15T03:29:26.354842,9,0.00,0.00,0.00,1.0000,1.0000,0,low,safe
2025-10-15T03:34:33.766788,9,0.00,0.00,0.00,1.0000,1.0000,0,low,safe
2025-10-15T03:39:38.922905,9,0.00,0.00,0.00,1.0000,1.0000,0,low,safe
2025-10-15T03:44:45.496041,9,0.00,0.00,0.00,1.0000,1.0000,0,low,safe
2025-10-15T03:49:51.026914,9,0.00,0.00,0.00,1.0000,1.0000,0,low,safe
2025-10-15T03:54:58.289435,9,0.00,0.00,0.00,1.0000,1.0000,0,low,safe
2025-10-15T04:00:05.465654,9,0.00,0.00,0.00,1.0000,1.0000,0,low,safe
2025-10-15T04:05:11.857806,9,0.00,0.00,0.00,1.0000,1.0000,0,low,safe
2025-10-15T04:10:17.973140,9,0.00,0.00,0.00,1.0000,1.0000,0,low,safe
2025-10-15T04:15:25.711771,9,0.00,0.00,0.00,1.0000,1.0000,0,low,safe
2025-10-15T04:20:26.916675,9,0.00,0.00,0.00,1.0000,1.0000,0,low,safe
2025-10-15T04:25:34.367026,9,0.00,0.00,0.00,1.0000,1.0000,0,low,safe
2025-10-15T04:30:38.545960,9,0.00,0.00,0.00,1.0000,1.0000,0,low,safe
2025-10-15T04:35:45.759150,9,0.00,0.00,0.00,1.0000,1.0000,0,low,safe
2025-10-15T04:40:50.690549,9,0.00,0.00,0.00,1.0000,1.0000,0,low,safe
2025-10-15T04:45:58.624359,9,0.00,0.00,0.00,1.0000,1.0000,0,low,safe
2025-10-15T04:51:06.416526,9,0.00,0.00,0.00,1.0000,1.0000,0,low,safe
2025-10-15T04:56:10.540150,9,0.00,0.00,0.00,1.0000,1.0000,0,low,safe
2025-10-15T05:01:15.768524,9,0.00,0.00,0.00,1.0000,1.0000,0,low,safe
2025-10-15T05:06:22.729276,9,0.00,0.00,0.00,1.0000,1.0000,0,low,safe
2025-10-15T05:11:27.784243,9,0.00,0.00,0.00,1.0000,1.0000,0,low,safe
2025-10-15T05:16:32.797405,9,0.00,0.00,0.00,1.0000,1.0000,0,low,safe
2025-10-15T05:21:38.324696,9,0.00,0.00,0.00,1.0000,1.0000,0,low,safe
2025-10-15T05:26:43.582638,9,0.00,0.00,0.00,1.0000,1.0000,0,low,safe
2025-10-15T05:31:50.653574,9,0.00,0.00,0.00,1.0000,1.0000,0,low,safe
2025-10-15T05:36:54.837816,9,0.00,0.00,0.00,1.0000,1.0000,0,low,safe
2025-10-15T05:41:59.697719,9,0.00,0.00,0.00,1.0000,1.0000,0,low,safe
2025-10-15T05:47:05.707843,9,0.00,0.00,0.00,1.0000,1.0000,0,low,safe
2025-10-15T05:52:11.781033,9,0.00,0.00,0.00,1.0000,1.0000,0,low,safe
2025-10-15T05:57:17.736697,9,0.00,0.00,0.00,1.0000,1.0000,0,low,safe
2025-10-15T06:02:22.709584,9,0.00,0.00,0.00,1.0000,1.0000,0,low,safe
2025-10-15T06:07:32.811971,9,0.00,0.00,0.00,1.0000,1.0000,0,low,safe
