timestamp,open_positions,total_pnl_usd,total_pnl_inr,risk_percent,avg_margin_ratio,min_margin_ratio,positions_at_risk,overall_liq_risk,status
2025-10-19T00:03:55.777017,2,-2.51,-213.40,2.13,1.0000,1.0000,0,low,safe
2025-10-19T00:09:00.553662,2,-4.77,-405.40,4.05,1.0000,1.0000,0,low,safe
2025-10-19T00:14:07.601294,2,-4.77,-405.40,4.05,1.0000,1.0000,0,low,safe
2025-10-19T00:19:13.935166,2,-2.51,-213.40,2.13,1.0000,1.0000,0,low,safe
2025-10-19T00:24:22.415116,2,-2.51,-213.40,2.13,1.0000,1.0000,0,low,safe
2025-10-19T00:29:27.722845,2,-4.77,-405.40,4.05,1.0000,1.0000,0,low,safe
2025-10-19T00:34:35.915100,2,-2.51,-213.40,2.13,1.0000,1.0000,0,low,safe
2025-10-19T00:39:41.773628,2,-2.51,-213.40,2.13,1.0000,1.0000,0,low,safe
2025-10-19T00:44:46.893882,2,-2.51,-213.40,2.13,1.0000,1.0000,0,low,safe
2025-10-19T00:49:52.404713,2,-0.06,-5.00,0.05,1.0000,1.0000,0,low,safe
2025-10-19T00:54:58.615908,2,-0.66,-55.80,0.56,1.0000,1.0000,0,low,safe
2025-10-19T01:00:04.881716,2,0.18,15.70,0.00,1.0000,1.0000,0,low,safe
2025-10-19T01:05:12.961300,2,-4.77,-405.40,4.05,1.0000,1.0000,0,low,safe
2025-10-19T01:10:20.592907,2,0.11,9.60,0.00,1.0000,1.0000,0,low,safe
2025-10-19T01:15:26.718396,2,0.41,34.60,0.00,1.0000,1.0000,0,low,safe
2025-10-19T01:20:32.894668,2,-4.77,-405.40,4.05,1.0000,1.0000,0,low,safe
2025-10-19T01:25:38.626327,2,0.75,63.40,0.00,1.0000,1.0000,0,low,safe
2025-10-19T01:30:45.532323,2,-4.77,-405.40,4.05,1.0000,1.0000,0,low,safe
2025-10-19T01:35:50.598894,2,-128.29,-10904.40,109.04,1.0000,1.0000,0,low,critical
2025-10-19T01:40:55.770928,2,1.11,94.60,0.00,1.0000,1.0000,0,low,safe
2025-10-19T01:46:01.741954,2,-116.53,-9905.40,99.05,1.0000,1.0000,0,low,critical
2025-10-19T01:51:08.877478,2,1.11,94.60,0.00,1.0000,1.0000,0,low,safe
2025-10-19T01:56:14.821995,2,1.11,94.60,0.00,1.0000,1.0000,0,low,safe
2025-10-19T02:01:22.775499,2,1.11,94.60,0.00,1.0000,1.0000,0,low,safe
2025-10-19T02:06:28.449815,2,1.11,94.60,0.00,1.0000,1.0000,0,low,safe
2025-10-19T02:11:34.619250,2,1.11,94.60,0.00,1.0000,1.0000,0,low,safe
2025-10-19T02:16:41.415383,2,1.11,94.60,0.00,1.0000,1.0000,0,low,safe
2025-10-19T02:21:48.950975,2,1.11,94.60,0.00,1.0000,1.0000,0,low,safe
2025-10-19T02:26:56.801538,2,1.11,94.60,0.00,1.0000,1.0000,0,low,safe
2025-10-19T02:32:03.779214,2,0.61,52.20,0.00,1.0000,1.0000,0,low,safe
2025-10-19T02:37:10.620887,2,-91.14,-7746.90,77.47,1.0000,1.0000,0,low,danger
2025-10-19T02:42:16.835677,2,-0.86,-73.50,0.73,1.0000,1.0000,0,low,safe
2025-10-19T02:47:23.924312,2,-0.90,-76.90,0.77,1.0000,1.0000,0,low,safe
2025-10-19T02:52:30.899099,2,0.14,11.60,0.00,1.0000,1.0000,0,low,safe
2025-10-19T02:57:36.478562,2,1.00,84.60,0.00,1.0000,1.0000,0,low,safe
2025-10-19T03:02:42.468935,2,-91.14,-7746.90,77.47,1.0000,1.0000,0,low,danger
2025-10-19T03:07:50.892828,2,-91.14,-7746.90,77.47,1.0000,1.0000,0,low,danger
2025-10-19T03:12:57.717706,2,1.11,94.60,0.00,1.0000,1.0000,0,low,safe
2025-10-19T03:18:03.862889,2,1.11,94.60,0.00,1.0000,1.0000,0,low,safe
2025-10-19T03:23:10.723303,2,1.11,94.60,0.00,1.0000,1.0000,0,low,safe
2025-10-19T03:28:16.849112,2,1.11,94.60,0.00,1.0000,1.0000,0,low,safe
2025-10-19T03:33:22.848556,2,-91.14,-7746.90,77.47,1.0000,1.0000,0,low,danger
2025-10-19T03:38:30.023003,2,1.11,94.60,0.00,1.0000,1.0000,0,low,safe
2025-10-19T03:43:36.763868,2,1.11,94.60,0.00,1.0000,1.0000,0,low,safe
2025-10-19T03:48:43.001643,2,1.11,94.60,0.00,1.0000,1.0000,0,low,safe
2025-10-19T03:53:48.694809,2,1.11,94.60,0.00,1.0000,1.0000,0,low,safe
2025-10-19T03:58:54.690694,2,-91.14,-7746.90,77.47,1.0000,1.0000,0,low,danger
2025-10-19T04:04:01.567676,2,1.11,94.60,0.00,1.0000,1.0000,0,low,safe
2025-10-19T04:09:07.994527,2,1.11,94.60,0.00,1.0000,1.0000,0,low,safe
2025-10-19T04:14:14.794619,2,1.11,94.60,0.00,1.0000,1.0000,0,low,safe
2025-10-19T04:19:21.962545,2,1.11,94.60,0.00,1.0000,1.0000,0,low,safe
2025-10-19T04:24:29.090644,2,-91.14,-7746.90,77.47,1.0000,1.0000,0,low,danger
2025-10-19T04:29:36.726473,2,-91.14,-7746.90,77.47,1.0000,1.0000,0,low,danger
2025-10-19T04:34:44.854521,2,1.11,94.60,0.00,1.0000,1.0000,0,low,safe
2025-10-19T04:39:50.481184,2,-91.14,-7746.90,77.47,1.0000,1.0000,0,low,danger
2025-10-19T04:44:56.878337,2,-91.14,-7746.90,77.47,1.0000,1.0000,0,low,danger
