timestamp,open_positions,total_pnl_usd,total_pnl_inr,risk_percent,avg_margin_ratio,min_margin_ratio,positions_at_risk,overall_liq_risk,status
2025-10-11T15:36:33.142905,3,15.62,1327.50,0.00,1.0000,1.0000,2,low,safe
2025-10-11T15:41:34.770434,3,15.62,1327.50,0.00,1.0000,1.0000,2,low,safe
2025-10-11T15:56:25.309540,3,15.62,1327.50,0.00,1.0000,1.0000,2,low,safe
2025-10-11T16:01:32.578911,3,15.62,1327.50,0.00,1.0000,1.0000,2,low,safe
2025-10-11T16:06:39.606372,3,15.62,1327.50,0.00,1.0000,1.0000,2,low,safe
2025-10-11T16:11:47.635730,3,15.62,1327.50,0.00,1.0000,1.0000,2,low,safe
2025-10-11T16:37:56.362103,4,15.04,1278.20,0.00,1.0000,1.0000,3,low,safe
2025-10-11T17:06:24.525649,4,14.13,1201.30,0.00,1.0000,1.0000,3,low,safe
2025-10-11T18:05:54.713621,4,14.13,1201.30,0.00,1.0000,1.0000,3,low,safe
