timestamp,time,total_pnl,unrealized_pnl,position_count
2025-11-12T00:00:12.475849,00:00:12,9611.54,9611.54,3
2025-11-12T00:00:25.810821,00:00:25,9651.3,9651.3,3
2025-11-12T00:00:39.270362,00:00:39,9674.71,9674.71,3
2025-11-12T00:00:52.686379,00:00:52,9712.76,9712.76,3
2025-11-12T00:01:05.678572,00:01:05,9769.13,9769.13,3
2025-11-12T00:01:19.244393,00:01:19,9762.87,9762.87,3
2025-11-12T00:01:32.289192,00:01:32,9748.56,9748.56,3
2025-11-12T00:01:44.757322,00:01:44,9763.16,9763.16,3
2025-11-12T00:01:57.313192,00:01:57,9764.45,9764.45,3
2025-11-12T00:02:10.069894,00:02:10,9701.41,9701.41,3
2025-11-12T00:02:22.628155,00:02:22,9727.8,9727.8,3
2025-11-12T00:02:35.323221,00:02:35,9718.26,9718.26,3
2025-11-12T00:02:47.834399,00:02:47,9627.12,9627.12,3
2025-11-12T00:03:00.044206,00:03:00,9647.42,9647.42,3
2025-11-12T00:03:12.530018,00:03:12,9713.32,9713.32,3
2025-11-12T00:03:25.460322,00:03:25,9751.3,9751.3,3
2025-11-12T00:03:38.130648,00:03:38,9697.38,9697.38,3
2025-11-12T00:03:50.731244,00:03:50,9667.57,9667.57,3
2025-11-12T00:04:03.262122,00:04:03,9666.07,9666.07,3
2025-11-12T00:04:15.756556,00:04:15,9724.16,9724.16,3
2025-11-12T00:04:28.540987,00:04:28,9648.21,9648.21,3
2025-11-12T00:04:41.333399,00:04:41,9610.61,9610.61,3
2025-11-12T00:04:54.201286,00:04:54,9668.07,9668.07,3
2025-11-12T00:05:06.769691,00:05:06,9702.34,9702.34,3
2025-11-12T00:05:19.505010,00:05:19,9674.35,9674.35,3
2025-11-12T00:05:32.254884,00:05:32,9675.14,9675.14,3
2025-11-12T00:05:44.714722,00:05:44,9672.07,9672.07,3
2025-11-12T00:05:57.591446,00:05:57,9666.26,9666.26,3
2025-11-12T00:06:10.442480,00:06:10,9586.35,9586.35,3
2025-11-12T00:06:22.770290,00:06:22,9537.47,9537.47,3
2025-11-12T00:06:34.910242,00:06:34,9434.13,9434.13,3
2025-11-12T00:06:47.515756,00:06:47,9374.22,9374.22,3
2025-11-12T00:06:59.884511,00:06:59,9382.42,9382.42,3
2025-11-12T00:07:12.448588,00:07:12,9333.22,9333.22,3
2025-11-12T00:07:25.261707,00:07:25,9442.86,9442.86,3
2025-11-12T00:07:38.044168,00:07:38,9375.77,9375.77,3
2025-11-12T00:07:50.514615,00:07:50,9352.12,9352.12,3
2025-11-12T00:08:02.781606,00:08:02,9346.45,9346.45,3
2025-11-12T00:08:15.563306,00:08:15,9349.31,9349.31,3
2025-11-12T00:08:28.281121,00:08:28,9344.51,9344.51,3
2025-11-12T00:08:40.700309,00:08:40,9379.48,9379.48,3
2025-11-12T00:08:53.476703,00:08:53,9311.86,9311.86,3
2025-11-12T00:09:06.155128,00:09:06,9281.6,9281.6,3
2025-11-12T00:09:18.670523,00:09:18,9221.13,9221.13,3
2025-11-12T00:09:31.156447,00:09:31,9224.23,9224.23,3
2025-11-12T00:09:43.676800,00:09:43,9271.64,9271.64,3
2025-11-12T00:09:56.164888,00:09:56,9318.93,9318.93,3
2025-11-12T00:10:08.322423,00:10:08,9352.57,9352.57,3
2025-11-12T00:10:21.024537,00:10:21,9374.62,9374.62,3
2025-11-12T00:10:33.725883,00:10:33,9395.29,9395.29,3
2025-11-12T00:10:46.134584,00:10:46,9402.16,9402.16,3
2025-11-12T00:10:58.789196,00:10:58,9387.47,9387.47,3
2025-11-12T00:11:11.358914,00:11:11,9418.67,9418.67,3
2025-11-12T00:11:24.250345,00:11:24,9456.39,9456.39,3
2025-11-12T00:11:36.785294,00:11:36,9447.63,9447.63,3
2025-11-12T00:11:49.475880,00:11:49,9441.52,9441.52,3
2025-11-12T00:12:02.137382,00:12:02,9485.14,9485.14,3
2025-11-12T00:12:14.703447,00:12:14,9470.46,9470.46,3
2025-11-12T00:12:27.521154,00:12:27,9437.74,9437.74,3
2025-11-12T00:12:40.258863,00:12:40,9410.5,9410.5,3
2025-11-12T00:12:52.602304,00:12:52,9377.44,9377.44,3
