timestamp,open_positions,total_pnl_usd,total_pnl_inr,risk_percent,avg_margin_ratio,min_margin_ratio,positions_at_risk,overall_liq_risk,status
2025-10-18T00:01:40.731404,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-18T00:04:27.587197,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-18T00:06:44.714181,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-18T00:09:31.818963,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-18T00:11:48.595818,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-18T00:14:35.526022,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-18T00:16:52.418887,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-18T00:19:39.410810,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-18T00:21:56.682936,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-18T00:24:43.640255,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-18T00:27:00.647885,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-18T00:29:47.426548,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-18T00:32:04.669146,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-18T00:34:51.590970,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-18T00:37:08.568188,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-18T00:39:55.500485,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-18T00:42:12.463710,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-18T00:44:59.759862,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-18T00:47:16.483348,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-18T00:50:03.748412,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-18T00:52:20.488952,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-18T00:55:07.451983,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
