timestamp,time,total_pnl,unrealized_pnl,position_count
2025-11-09T00:00:02.534725,00:00:02,9314.78,9314.78,3
2025-11-09T00:00:15.726073,00:00:15,9328.38,9328.38,3
2025-11-09T00:00:29.111472,00:00:29,9341.14,9341.14,3
2025-11-09T00:00:42.548800,00:00:42,9393.94,9393.94,3
2025-11-09T00:00:55.962567,00:00:55,9398.73,9398.73,3
2025-11-09T00:01:09.158893,00:01:09,9427.82,9427.82,3
2025-11-09T00:01:22.134553,00:01:22,9327.06,9327.06,3
2025-11-09T00:01:35.340393,00:01:35,9322.59,9322.59,3
2025-11-09T00:01:48.926749,00:01:48,9378.41,9378.41,3
2025-11-09T00:02:02.199899,00:02:02,9349.51,9349.51,3
2025-11-09T00:02:15.459509,00:02:15,9359.09,9359.09,3
2025-11-09T00:02:28.679318,00:02:28,9326.43,9326.43,3
2025-11-09T00:02:41.550062,00:02:41,9319.31,9319.31,3
2025-11-09T00:02:54.961642,00:02:54,9330.88,9330.88,3
2025-11-09T00:03:08.192209,00:03:08,9322.04,9322.04,3
2025-11-09T00:03:21.435089,00:03:21,9296.19,9296.19,3
2025-11-09T00:03:34.364080,00:03:34,9228.05,9228.05,3
2025-11-09T00:03:47.425297,00:03:47,9291.74,9291.74,3
2025-11-09T00:04:00.743585,00:04:00,9237.79,9237.79,3
2025-11-09T00:04:13.722635,00:04:13,9229.65,9229.65,3
2025-11-09T00:04:27.492207,00:04:27,9170.16,9170.16,3
2025-11-09T00:04:40.668555,00:04:40,9187.92,9187.92,3
2025-11-09T00:04:54.122395,00:04:54,9137.82,9137.82,3
2025-11-09T00:05:07.364524,00:05:07,9127.18,9127.18,3
2025-11-09T00:05:20.820314,00:05:20,9093.14,9093.14,3
2025-11-09T00:05:33.850496,00:05:33,9137.51,9137.51,3
2025-11-09T00:05:47.269965,00:05:47,9141.82,9141.82,3
2025-11-09T00:06:00.283502,00:06:00,9145.66,9145.66,3
2025-11-09T00:06:13.598102,00:06:13,9100.33,9100.33,3
2025-11-09T00:06:26.541911,00:06:26,9087.43,9087.43,3
2025-11-09T00:06:39.562607,00:06:39,9033.88,9033.88,3
2025-11-09T00:06:52.703172,00:06:52,9067.72,9067.72,3
2025-11-09T00:07:06.108817,00:07:06,9045.92,9045.92,3
2025-11-09T00:07:19.106031,00:07:19,9060.62,9060.62,3
2025-11-09T00:07:32.264871,00:07:32,9133.26,9133.26,3
2025-11-09T00:07:45.542786,00:07:45,9185.43,9185.43,3
2025-11-09T00:07:58.553686,00:07:58,9210.32,9210.32,3
2025-11-09T00:08:11.651030,00:08:11,9218.47,9218.47,3
2025-11-09T00:08:24.837376,00:08:24,9240.11,9240.11,3
2025-11-09T00:08:38.097123,00:08:38,9268.74,9268.74,3
2025-11-09T00:08:51.472078,00:08:51,9335.05,9335.05,3
2025-11-09T00:09:04.597382,00:09:04,9354.1,9354.1,3
2025-11-09T00:09:17.988143,00:09:17,9382.08,9382.08,3
2025-11-09T00:09:31.593827,00:09:31,9400.38,9400.38,3
2025-11-09T00:09:44.930204,00:09:44,9402.28,9402.28,3
2025-11-09T00:09:58.106869,00:09:58,9439.3,9439.3,3
2025-11-09T00:10:11.148821,00:10:11,9405.67,9405.67,3
2025-11-09T00:10:24.895556,00:10:24,9387.43,9387.43,3
2025-11-09T00:10:38.159430,00:10:38,9398.8,9398.8,3
2025-11-09T00:10:51.511383,00:10:51,9400.67,9400.67,3
2025-11-09T00:11:04.498267,00:11:04,9396.92,9396.92,3
2025-11-09T00:11:17.501153,00:11:17,9416.44,9416.44,3
2025-11-09T00:11:30.993727,00:11:30,9424.17,9424.17,3
2025-11-09T00:11:44.053984,00:11:44,9375.7,9375.7,3
2025-11-09T00:11:57.573264,00:11:57,9402.18,9402.18,3
2025-11-09T00:12:10.858180,00:12:10,9386.06,9386.06,3
2025-11-09T00:12:24.166174,00:12:24,9368.76,9368.76,3
2025-11-09T00:12:37.538628,00:12:37,9294.85,9294.85,3
2025-11-09T00:12:51.043774,00:12:51,9289.68,9289.68,3
2025-11-09T00:13:04.047702,00:13:04,9333.84,9333.84,3
2025-11-09T00:13:17.604771,00:13:17,9335.37,9335.37,3
2025-11-09T00:13:30.978217,00:13:30,9383.09,9383.09,3
2025-11-09T00:13:44.434901,00:13:44,9375.35,9375.35,3
2025-11-09T00:13:57.779165,00:13:57,9309.11,9309.11,3
2025-11-09T00:14:11.241065,00:14:11,9292.52,9292.52,3
2025-11-09T00:14:24.320093,00:14:24,9327.98,9327.98,3
2025-11-09T00:14:37.315050,00:14:37,9334.93,9334.93,3
2025-11-09T00:14:50.828524,00:14:50,9349.01,9349.01,3
2025-11-09T00:15:04.149272,00:15:04,9345.66,9345.66,3
2025-11-09T00:15:17.001855,00:15:17,9399.78,9399.78,3
2025-11-09T00:15:30.450567,00:15:30,9358.55,9358.55,3
2025-11-09T00:15:43.569199,00:15:43,9341.78,9341.78,3
2025-11-09T00:15:56.733879,00:15:56,9343.53,9343.53,3
2025-11-09T00:16:09.760772,00:16:09,9359.91,9359.91,3
2025-11-09T00:16:22.836453,00:16:22,9391.6,9391.6,3
2025-11-09T00:16:36.349091,00:16:36,9355.5,9355.5,3
2025-11-09T00:16:49.668814,00:16:49,9352.37,9352.37,3
2025-11-09T00:17:03.043236,00:17:03,9336.79,9336.79,3
2025-11-09T00:17:16.127948,00:17:16,9281.67,9281.67,3
2025-11-09T00:17:29.372029,00:17:29,9255.79,9255.79,3
2025-11-09T00:17:42.569559,00:17:42,9255.62,9255.62,3
2025-11-09T00:17:55.614733,00:17:55,9252.23,9252.23,3
2025-11-09T00:18:08.455457,00:18:08,9253.89,9253.89,3
2025-11-09T00:18:21.788269,00:18:21,9319.68,9319.68,3
2025-11-09T00:18:35.193222,00:18:35,9338.73,9338.73,3
2025-11-09T00:18:48.574089,00:18:48,9338.95,9338.95,3
2025-11-09T00:19:01.934303,00:19:01,9358.43,9358.43,3
2025-11-09T00:19:15.177227,00:19:15,9379.58,9379.58,3
2025-11-09T00:19:28.463813,00:19:28,9368.76,9368.76,3
2025-11-09T00:19:42.059549,00:19:42,9376.87,9376.87,3
2025-11-09T00:19:55.490924,00:19:55,9400.03,9400.03,3
2025-11-09T00:20:08.673718,00:20:08,9444.6,9444.6,3
2025-11-09T00:20:22.262256,00:20:22,9469.47,9469.47,3
2025-11-09T00:20:35.111059,00:20:35,9463.48,9463.48,3
2025-11-09T00:20:48.271107,00:20:48,9486.43,9486.43,3
2025-11-09T00:21:01.872479,00:21:01,9498.01,9498.01,3
2025-11-09T00:21:15.039645,00:21:15,9475.09,9475.09,3
2025-11-09T00:21:28.260313,00:21:28,9529.24,9529.24,3
2025-11-09T00:21:41.284325,00:21:41,9499.98,9499.98,3
2025-11-09T00:21:54.784180,00:21:54,9530.24,9530.24,3
2025-11-09T00:22:08.007560,00:22:08,9528.77,9528.77,3
2025-11-09T00:22:21.507722,00:22:21,9514.98,9514.98,3
2025-11-09T00:22:34.602185,00:22:34,9495.13,9495.13,3
2025-11-09T00:22:47.831139,00:22:47,9517.91,9517.91,3
2025-11-09T00:23:01.188002,00:23:01,9515.31,9515.31,3
2025-11-09T00:23:14.299004,00:23:14,9495.8,9495.8,3
2025-11-09T00:23:27.578018,00:23:27,9480.92,9480.92,3
2025-11-09T00:23:40.458681,00:23:40,9482.39,9482.39,3
2025-11-09T00:23:53.794029,00:23:53,9468.29,9468.29,3
2025-11-09T00:24:07.135142,00:24:07,9486.4,9486.4,3
2025-11-09T00:24:19.862638,00:24:19,9497.39,9497.39,3
2025-11-09T00:24:33.297427,00:24:33,9501.3,9501.3,3
2025-11-09T00:24:46.643674,00:24:46,9500.99,9500.99,3
2025-11-09T00:25:00.332839,00:25:00,9500.82,9500.82,3
2025-11-09T00:25:13.723355,00:25:13,9492.69,9492.69,3
2025-11-09T00:25:26.865011,00:25:26,9542.22,9542.22,3
2025-11-09T00:25:39.954036,00:25:39,9574.28,9574.28,3
2025-11-09T00:25:53.294480,00:25:53,9577.07,9577.07,3
2025-11-09T00:26:06.515659,00:26:06,9578.6,9578.6,3
2025-11-09T00:26:19.493534,00:26:19,9590.02,9590.02,3
2025-11-09T00:26:33.086620,00:26:33,9629.0,9629.0,3
2025-11-09T00:26:46.471602,00:26:46,9636.66,9636.66,3
2025-11-09T00:26:59.442118,00:26:59,9647.65,9647.65,3
2025-11-09T00:27:12.729304,00:27:12,9654.88,9654.88,3
2025-11-09T00:27:25.808818,00:27:25,9659.16,9659.16,3
2025-11-09T00:27:38.921022,00:27:38,9670.95,9670.95,3
2025-11-09T00:27:52.051127,00:27:52,9671.89,9671.89,3
2025-11-09T00:28:05.060346,00:28:05,9704.54,9704.54,3
2025-11-09T00:28:18.123577,00:28:18,9688.64,9688.64,3
2025-11-09T00:28:31.315613,00:28:31,9707.59,9707.59,3
2025-11-09T00:28:44.608429,00:28:44,9674.77,9674.77,3
2025-11-09T00:28:57.985337,00:28:57,9627.06,9627.06,3
2025-11-09T00:29:11.434100,00:29:11,9626.8,9626.8,3
