Product_Symbol,Product_ID,Position_Size,Entry_Price,Mark_Price,Unrealized_PnL,Realized_PnL,Realized_Funding,Commission_Blocked,Margin,Liq_Price,Bankruptcy_Price,ADL_Level,Created_At,Updated_At
BTCUSD,27,1,115500,115519.69905649,0.01969905,0.0,0.0,0.0,0,,,,2025-09-17T14:30:27.487366Z,2025-09-17T14:30:27.487366Z
--- SUMMARY ---,,,,,0.01969905,0.00000000,0.00000000,0.00000000,,,,,,
