Product_Symbol,Trades,Buy_Value,Sell_Value,Realized_PnL_native,Commission_Paid_native,Net_After_Fees_native,Realized_PnL_USD,Commission_Paid_USD,Net_After_Fees_USD,Open_Qty_EndOfPeriod,Avg_Cost_EndOfPeriod
P-BTC-114400-170925,3,0.0,180.0,180.0,0.01062,179.98938,180.0,0.01062,179.98938,0.0,18.0
BTCUSD,1,115500.0,0.0,0.0,0.0245322,-0.0245322,0.0,0.0245322,-0.0245322,1.0,115500.0
