Metric,Value,Unit
=== PERIOD WINDOW ===,,
Start (local),2025-09-17 00:00:00,
End (local),2025-09-17 23:01:57,
Realized PnL (native),0.00000000,mixed
Commission Paid (native),0.00000000,mixed
Net After Fees (native),0.00000000,mixed
Realized PnL (USD est.),0.00000000,USD
Commission Paid (USD est.),0.00000000,USD
Net After Fees (USD est.),0.00000000,USD
Trades,0,count
