Product_Symbol,Product_ID,Position_Size,Entry_Price,Mark_Price,Unrealized_PnL_native,Realized_PnL_native,Realized_Funding_native,Commission_Blocked_native,Margin,Liq_Price,Bankruptcy_Price,ADL_Level,Created_At,Updated_At
BTCUSD,27,1,115500,115688.91182637,0.18891182,0.0,-0.01158762,0.0,0,,,,2025-09-17T14:30:27.487366Z,2025-09-17T17:04:56.008517Z
--- SUMMARY ---,,,,,0.18891182,0.00000000,-0.01158762,0.00000000,,,,,,
